order_id,quantity,unit_price,line_item,deal_size,order_date,status,quarter,month_num,year,product_id,customer_id
10107,30,95.7,2,Small,2/24/03 0:00,Shipped,1,2,2003,S10_1678,1
10121,34,81.35,5,Small,5/7/03 0:00,Shipped,2,5,2003,S10_1678,2
10134,41,94.74,2,Medium,7/1/03 0:00,Shipped,3,7,2003,S10_1678,3
10145,45,83.26,6,Medium,8/25/03 0:00,Shipped,3,8,2003,S10_1678,4
10159,49,100,14,Medium,10/10/03 0:00,Shipped,4,10,2003,S10_1678,5
10168,36,96.66,1,Medium,10/28/03 0:00,Shipped,4,10,2003,S10_1678,6
10180,29,86.13,9,Small,11/11/03 0:00,Shipped,4,11,2003,S10_1678,7
10188,48,100,1,Medium,11/18/03 0:00,Shipped,4,11,2003,S10_1678,8
10201,22,98.57,2,Small,12/1/03 0:00,Shipped,4,12,2003,S10_1678,9
10211,41,100,14,Medium,1/15/04 0:00,Shipped,1,1,2004,S10_1678,10
10223,37,100,1,Medium,2/20/04 0:00,Shipped,1,2,2004,S10_1678,11
10237,23,100,7,Small,4/5/04 0:00,Shipped,2,4,2004,S10_1678,12
10251,28,100,2,Medium,5/18/04 0:00,Shipped,2,5,2004,S10_1678,13
10263,34,100,2,Medium,6/28/04 0:00,Shipped,2,6,2004,S10_1678,14
10275,45,92.83,1,Medium,7/23/04 0:00,Shipped,3,7,2004,S10_1678,15
10285,36,100,6,Medium,8/27/04 0:00,Shipped,3,8,2004,S10_1678,16
10299,23,100,9,Small,9/30/04 0:00,Shipped,3,9,2004,S10_1678,17
10309,41,100,5,Medium,10/15/04 0:00,Shipped,4,10,2004,S10_1678,18
10318,46,94.74,1,Medium,11/2/04 0:00,Shipped,4,11,2004,S10_1678,19
10329,42,100,1,Medium,11/15/04 0:00,Shipped,4,11,2004,S10_1678,1
10341,41,100,9,Large,11/24/04 0:00,Shipped,4,11,2004,S10_1678,20
10361,20,72.55,13,Small,12/17/04 0:00,Shipped,4,12,2004,S10_1678,21
